time,legacy_voltage,aeg_voltage
0,0.9400999999999999,1.02
1,0.9399,1.0190000000000001
2,0.9400999999999999,1.018
3,0.9399,1.0170000000000001
4,0.9400999999999999,1.016
5,0.9399,1.0150000000000001
6,0.9400999999999999,1.014
7,0.9399,1.0130000000000001
8,0.9400999999999999,1.012
9,0.9399,1.0110000000000001
10,0.9400999999999999,1.01
11,0.9399,1.0090000000000001
12,0.9400999999999999,1.008
13,0.9399,1.0070000000000001
14,0.9400999999999999,1.006
15,0.9399,1.0050000000000001
16,0.9400999999999999,1.004
17,0.9399,1.0030000000000001
18,0.9400999999999999,1.002
19,0.9399,1.0010000000000001
20,0.9400999999999999,1.0
21,0.9399,0.999
22,0.9400999999999999,0.998
23,0.9399,0.997
